modelo_aeronave,idade_aeronave_anos,horas_voo_total,tipo_motor,companhia_aerea,ultima_manutencao_meses,ciclos_pouso_decolagem,temperatura_media_operacao,falha_critica,tipo_falha
Airbus A350,15,7210,Turboprop,GOL,7,3864,-12.840676596364556,0.0,Nenhuma
Airbus A330,12,21884,Turbojato,Azul,22,141,-26.09782173482546,0.0,Nenhuma
Embraer E190,16,21538,Turbofan,Azul,21,496,-2.9528894413433022,1.0,Comunicações
Airbus A350,24,41346,Turbojato,Azul,17,158,-1.5566664554231906,0.0,Nenhuma
Boeing 787,19,22947,Turbofan,Emirates,16,4462,-38.63080142330636,1.0,Sistema de Pouso
Bombardier CRJ,8,2785,Turboprop,LATAM,19,3289,-30.051168819962278,0.0,Nenhuma
Embraer E190,21,38491,Turboprop,American,9,4103,-24.281288404310516,1.0,Estrutural
Embraer E190,17,14021,Turbojato,GOL,14,4587,-30.345078022812636,1.0,Outros
Airbus A350,23,48157,Turboprop,LATAM,17,1295,-10.970283589184074,0.0,Nenhuma
Airbus A320,5,7471,Turboprop,British,5,2770,41.99294272744653,0.0,Nenhuma
Boeing 787,22,29639,Turbojato,American,2,327,3.28391575780163,0.0,Nenhuma
Airbus A350,16,20409,Turbofan,American,20,3106,13.34226202900495,0.0,Nenhuma
Boeing 787,6,12031,Turboprop,United,16,4714,-9.707149325542606,1.0,Pressurização
Boeing 787,8,15221,Turbojato,United,14,2972,-12.503540260332585,0.0,Nenhuma
Bombardier CRJ,25,19706,Turboprop,Emirates,14,2563,-38.03252438722429,1.0,Elétrico
Embraer E190,18,38211,Turboprop,GOL,1,888,2.5283607324619055,1.0,Pressurização
Airbus A330,25,7030,Turboprop,British,3,2851,1.1067655738916358,0.0,Nenhuma
Bombardier CRJ,12,11616,Turboprop,GOL,7,79,-26.584388274604542,1.0,Sistema de Pouso
Bombardier CRJ,15,758,Turbojato,GOL,15,1307,24.967540017569817,0.0,Nenhuma
Boeing 787,27,782,Turbojato,Emirates,19,414,1.8773180764352517,1.0,Estrutural
Boeing 777,26,14437,Turbojato,Emirates,20,1850,-11.18551253626627,1.0,Sistema Hidráulico
Embraer E190,9,2398,Turboprop,LATAM,2,954,-27.51274273305121,0.0,Nenhuma
Airbus A320,13,4635,Turboprop,Delta,19,4843,6.933670292536057,1.0,Instrumentos
Bombardier CRJ,26,7129,Turboprop,Emirates,9,2228,23.98944721754883,1.0,Estrutural
Airbus A330,15,44436,Turbojato,GOL,19,2900,-16.030055021777407,1.0,Motor
Boeing 777,10,20084,Turboprop,United,5,2886,-21.402480115978584,0.0,Nenhuma
Boeing 777,16,24051,Turbofan,Delta,18,4496,4.3644719454890435,0.0,Nenhuma
Airbus A320,7,33880,Turboprop,LATAM,16,229,-26.79581928664856,0.0,Nenhuma
Bombardier CRJ,17,47471,Turbofan,Delta,4,3923,16.66213786051422,0.0,Nenhuma
Airbus A330,23,17571,Turboprop,Azul,12,4010,11.45420837525959,0.0,Nenhuma
